"","name","sds"
"291","V228E",0.0171490589908822
"292","V228F",0.0177185795673568
"293","V228G",0.0183894597283471
"294","V228H",0.0171685182910622
"295","V228I",0.0174373442379089
"296","V228J",0.0141008542715105
"297","V228K",0.0134751769615235
"298","V229",0.0157205330375217
"299","V230",0.0134013844334161
"300","V231",0.0219777689085724
"301","V232",0.0210125147353365
"302","V233",0.0310036020405146
"306","V237",0.0130112196186699
"307","V238",0.0132429947289498
"308","V239",0.0212755916865888
"310","V241",0.0935582780350962
"311","V242",0.100672825777783
"318","V247",0.127681947704573
"319","V248",0.0244111348964482
"320","V248_CS",0.102177359144329
"321","V249",0.117673584033293
"325","V253",0.0219508472146248
"326","V253_CS",0.102178829407119
"327","V254",0.0569509726168591
"329","V256",0.101683346688093
"330","V256B",0.114350661884176
